Horizon,Stock,Logistic Test Accuracy,Logistic Test Precision,Logistic Test Recall,Logistic Test F1,Default RF Test Accuracy,Default RF Test Precision,Default RF Test Recall,Default RF Test F1,Tuned RF Test Accuracy,Tuned RF Test Precision,Tuned RF Test Recall,Tuned RF Test F1,Logistic CV,Default RF CV,Tuned RF CV,Best Model,Best CV Accuracy
20D,HDFCBANK.NS,0.4761061946902655,0.509090909090909,0.1879194630872483,0.2745098039215686,0.479646017699115,0.6,0.0402684563758389,0.0754716981132075,0.4778761061946903,0.5789473684210527,0.0369127516778523,0.0694006309148265,0.5547872340425533,0.4877659574468085,0.6270685579196218,Tuned Random Forest,0.6270685579196218
20D,INFY.NS,0.4991150442477876,0.501779359430605,0.9894736842105264,0.6658795749704841,0.5716814159292035,0.5981735159817352,0.4596491228070175,0.5198412698412699,0.5982300884955752,0.6178861788617886,0.5333333333333333,0.5725047080979284,0.5414893617021277,0.4984042553191489,0.4775413711583924,Logistic Regression,0.5414893617021277
20D,MSFT,0.5347222222222222,0.5236768802228412,0.6596491228070176,0.5838509316770186,0.5659722222222222,0.6190476190476191,0.3192982456140351,0.4212962962962963,0.5694444444444444,0.6412213740458015,0.2947368421052631,0.4038461538461538,0.5284595300261097,0.4375979112271541,0.5460869565217391,Tuned Random Forest,0.5460869565217391
20D,NVDA,0.4878472222222222,0.6607142857142857,0.318051575931232,0.4294003868471953,0.3958333333333333,0.6,0.0085959885386819,0.0169491525423728,0.3975694444444444,1.0,0.0057306590257879,0.0113960113960113,0.5216710182767624,0.4699738903394255,0.4643478260869565,Logistic Regression,0.5216710182767624
20D,RELIANCE.NS,0.4707964601769911,0.425531914893617,0.4669260700389105,0.4452690166975881,0.5238938053097345,0.4814814814814814,0.6070038910505836,0.5370051635111877,0.5168141592920354,0.4733333333333333,0.5525291828793775,0.5098743267504489,0.5042553191489362,0.5074468085106383,0.5478723404255319,Tuned Random Forest,0.5478723404255319
20D,TCS.NS,0.4300884955752212,0.410958904109589,0.9090909090909092,0.5660377358490566,0.4831858407079646,0.4067278287461773,0.5757575757575758,0.4767025089605735,0.4814159292035398,0.4088235294117647,0.6017316017316018,0.4868651488616462,0.5335106382978724,0.5537234042553191,0.4875886524822695,Default Random Forest,0.5537234042553191
5D,AAPL,0.542314335060449,0.5837837837837838,0.6605504587155964,0.6197991391678622,0.4490500863557858,0.9,0.0275229357798165,0.0534124629080118,0.4421416234887737,0.8333333333333334,0.0152905198776758,0.03003003003003,0.5501298701298702,0.4768831168831168,0.4354094579008074,Logistic Regression,0.5501298701298702
5D,AMZN,0.4956822107081174,0.5972222222222222,0.1405228758169934,0.2275132275132275,0.5008635578583766,0.7297297297297297,0.088235294117647,0.1574344023323615,0.4801381692573402,0.8571428571428571,0.0196078431372549,0.0383386581469648,0.5101298701298701,0.4992207792207791,0.4884659746251441,Logistic Regression,0.5101298701298701
5D,HDFCBANK.NS,0.4647887323943662,0.48,0.710801393728223,0.5730337078651685,0.4841549295774648,0.4594594594594595,0.1184668989547038,0.1883656509695291,0.4665492957746479,0.4230769230769231,0.1533101045296167,0.2250639386189258,0.517989417989418,0.4719576719576719,0.5167548500881834,Logistic Regression,0.517989417989418
5D,INFY.NS,0.5123239436619719,0.5141843971631206,0.9897610921501706,0.676779463243874,0.5140845070422535,0.5422885572139303,0.3720136518771331,0.4412955465587044,0.522887323943662,0.54296875,0.4744027303754266,0.5063752276867031,0.5317460317460319,0.4788359788359788,0.4897119341563785,Logistic Regression,0.5317460317460319
5D,MSFT,0.5233160621761658,0.5357142857142857,0.8653846153846154,0.6617647058823529,0.5077720207253886,0.6030534351145038,0.2532051282051282,0.3566591422121896,0.5250431778929189,0.6275862068965518,0.2916666666666667,0.3982494529540481,0.5490909090909091,0.4451948051948052,0.4354094579008074,Logistic Regression,0.5490909090909091
5D,NVDA,0.4559585492227979,0.5171428571428571,0.5535168195718655,0.534711964549483,0.531951640759931,0.5606060606060606,0.7920489296636085,0.6565272496831432,0.4956822107081174,0.5417661097852029,0.6941896024464832,0.6085790884718498,0.5246753246753246,0.495064935064935,0.4648212226066897,Logistic Regression,0.5246753246753246
5D,RELIANCE.NS,0.4982394366197183,0.5011037527593819,0.7937062937062938,0.6143437077131259,0.4859154929577465,0.4909638554216867,0.5699300699300699,0.5275080906148867,0.5,0.5030674846625767,0.5734265734265734,0.5359477124183006,0.4788359788359788,0.4920634920634921,0.527336860670194,Tuned Random Forest,0.527336860670194
5D,TCS.NS,0.4401408450704225,0.4182194616977225,0.8451882845188284,0.5595567867036011,0.4559859154929577,0.3976608187134502,0.5690376569037657,0.4681583476764199,0.4665492957746479,0.4116022099447514,0.6234309623430963,0.4958402662229617,0.5486772486772488,0.5206349206349206,0.5102880658436214,Logistic Regression,0.5486772486772488
